timestamp,symbol,side,action,quantity,entry_price,exit_price,predicted_take_profit,predicted_stop_loss,current_price_at_entry,actual_exit_price,pnl,pnl_percent,price_change_percent,signal_confidence,signal_reason,exit_reason,target_hit,entry_time,exit_time,time_in_position_minutes,trade_id,reason
2025-08-29 22:55:08,BTC/USDT,short,open,0.0010,107617.9000,0.0000,0.0000,0.0000,107617.9000,0.0000,0.00,0.00,0.00,0.00,N/A,N/A,UNKNOWN,2025-08-29 22:55:08,,0.0,,MACD forte bearish | EMA bearish | Momentum bearish
2025-08-30 01:17:19,BTC/USDT,short,close,0.0010,107617.9000,108471.1000,0.0000,0.0000,107617.9000,108471.1000,-0.85,-0.79,0.79,0.00,N/A,N/A,UNKNOWN,2025-08-29 22:55:08,2025-08-30 01:17:19,142.2,,Trailing Stop (-1.0%)
2025-08-30 02:37:16,BTC/USDT,short,open,0.0010,108386.6000,0.0000,0.0000,0.0000,108386.6000,0.0000,0.00,0.00,0.00,0.00,N/A,N/A,UNKNOWN,2025-08-30 02:37:16,,0.0,,RSI neutro-alto (55.8) | MACD bearish | EMA bearish
2025-08-30 03:03:50,BTC/USDT,short,close,0.0010,108386.6000,108498.6000,0.0000,0.0000,108386.6000,108498.6000,-0.11,-0.10,0.10,0.00,N/A,N/A,UNKNOWN,2025-08-30 02:37:16,2025-08-30 03:03:50,26.6,,Trailing Stop (-1.0%)
2025-08-30 03:05:35,BTC/USDT,long,open,0.0010,108501.3000,0.0000,0.0000,0.0000,108501.3000,0.0000,0.00,0.00,0.00,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:05:35,,0.0,,MACD bullish subindo | EMA bullish | Momentum neutro (ranging - confiança reduzida)
2025-08-30 03:06:26,BTC/USDT,long,close,0.0010,108501.3000,108499.7000,0.0000,0.0000,108501.3000,108499.7000,-0.00,-0.00,-0.00,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:05:35,2025-08-30 03:06:26,0.8,,Trailing Stop (-1.0%)
2025-08-30 03:08:07,BTC/USDT,long,open,0.0010,108429.1000,0.0000,0.0000,0.0000,108429.1000,0.0000,0.00,0.00,0.00,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:08:07,,0.0,,MACD bullish subindo | EMA bullish | Momentum neutro (ranging - confiança reduzida)
2025-08-30 03:08:58,BTC/USDT,long,close,0.0010,108429.1000,108485.1000,0.0000,0.0000,108429.1000,108485.1000,0.06,0.05,0.05,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:08:07,2025-08-30 03:08:58,0.8,,Trailing Stop (-1.0%)
2025-08-30 03:12:21,BTC/USDT,long,open,0.0010,108366.1000,0.0000,0.0000,0.0000,108366.1000,0.0000,0.00,0.00,0.00,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:12:21,,0.0,,MACD bullish | EMA bullish | Momentum neutro (ranging - confiança reduzida)
2025-08-30 04:46:06,BTC/USDT,long,close,0.0010,108366.1000,108463.3000,0.0000,0.0000,108366.1000,108463.3000,0.10,0.09,0.09,0.00,N/A,N/A,UNKNOWN,2025-08-30 03:12:21,2025-08-30 04:46:06,93.8,,Trailing Stop (-1.0%)
